blog_id,nickname,profile_url,liked_post_count,commented_post_count,total_engagement_count,liked_post_titles,commented_post_titles,latest_engagement_at,comment_samples,is_liker,is_commenter
ekdns1986,먹고노는단이,https://m.blog.naver.com/ekdns1986,5,5,10,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,2026-08-26 21:53:16,몰랐던 정보네요!! 좋은 정보 상세하게 알려주셔서 감사합니다☺️ || 놀러가면 너무 재밌을것같아요! 가격 할인 정보까지 감사드려요☺️ || 여행 주의사항까지 자세히 적어 주시고 너무 감사드려요☺️ || 낙지가 통으로 들어가는 샤브샤브라니 몸보신 제대로 하셨네요!! 정보 감사드려요☺️ || 완도여행이 가고 싶어지네요! 초록초록 너무 이쁘고 힐링까지 될 것 같아요 가족끼리 놀러가서 사진찍기도 좋을 것 같네용,Y,Y
on-yoon123,온윤,https://m.blog.naver.com/on-yoon123,5,3,8,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,2026-08-26 21:53:16,꿀정보네용ㅎㅎ감사해용 || 와 프로그램이 너무 다양하고 좋네용ㅎㅎ || 카페분위기가 너무 이쁘잖아용!!ㅎㅎ,Y,Y
hapzin,potato,https://m.blog.naver.com/hapzin,5,2,7,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집,2026-08-26 21:53:16,"오 해당되는 지역도 많군요! 꿀팁 감사합니다 ㅎㅎㅎ || 저도 여수에서 인당 8만원 주고 먹어봤는데, ,, ㅎ 만푸장횟집도 꼭 가봐야겠어요!",Y,Y
alsdud1765,민뇽쓰,https://m.blog.naver.com/alsdud1765,5,2,7,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,2026-08-26 21:53:16,ㅎㅎㅎ재개장되서 너무 다행이에요~~ㅎㅎ || 와 이쁜 풍경에 입장료도 없다니요~~ㅎㅎ 1만 4천평을 가꾸신 것도 신기하고 대단하고... 한번 가보고 싶네용!!,Y,Y
stnfusdl,몽수리,https://m.blog.naver.com/stnfusdl,3,3,6,완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집,완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집,2026-08-26 21:53:16,우앙 가족들끼리 가면 넘 좋을 것 같아요 ♡ || 오! 꿀팁정보 감사합니다 ♡ || 우앙 하모샤브샤브 비줠 대박!!!! 얼마나 맛도리일지 감도 안 와요♡,Y,Y
happymoment1216,찰랑이,https://m.blog.naver.com/happymoment1216,4,2,6,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,2026-08-26 21:53:16,휴가지원 사업 활용하면 경비도 절약하고 넘 좋겠어요🥰 || 하루 날 잡고 가야할정도로 규모가 꽤 크네요🤩,Y,Y
vhsy33,쑤햔,https://m.blog.naver.com/vhsy33,4,2,6,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,2026-08-26 21:53:16,유용한 정보 감사합니다 :) || 우와아 나중에 나이 들면 이런 카페 차리는 게 꿈이었는데 진짜 가보고 싶네요......,Y,Y
with2seo,Nowment 나우먼트,https://m.blog.naver.com/with2seo,4,2,6,완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,2026-08-26 21:53:16,반값여행 이런거 있는지 처음알았어요!! 곧 여행 계획 있는데 도움이 많이 되었습니다 감사해요 ㅎㅎ || 우왕.. 감성이 우리나라가 아닌것 같아요! 좋은 곳 알게 되었네요 감사합니다 히히,Y,Y
aquaqua11,아쿠아쿠,https://m.blog.naver.com/aquaqua11,5,1,6,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,완도 플로리스트의 비밀정원 아내의 정원 방문 후기,2026-08-26 21:53:16,와 카페 완전 동화속같아요 팜픙렛도 동호ㅓ책 같네용 너무 이쁜데 사진도 잘찍으셔서 더더 가보고싶어요 😳,Y,Y
cotten2324,째랑맘,https://m.blog.naver.com/cotten2324,5,1,6,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,완도 플로리스트의 비밀정원 아내의 정원 방문 후기,2026-08-26 21:53:16,저희 어머님도 꽃 좋아하시는데 어머님 모시고 가고싶은 곳이네요!!,Y,Y
hyeroomysoodal,혜리미,https://m.blog.naver.com/hyeroomysoodal,3,2,5,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지,2026-08-26 21:53:16,와 재개장하고 바로 가셨네요! || 와 내부가 엄청 잘 되어있네요 체험거리 구경거리 모두 가득해서 가족들 자녀분과 좋은 추억쌓기에 적합해보여요,Y,Y
wjddms7720,쩡니,https://m.blog.naver.com/wjddms7720,3,2,5,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집,완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집,2026-08-26 21:53:16,너무 좋은데요 !? 여행도 하고 환급도 받고 !!!! 완도 여행 계획하는 자들에겐 아주 꿀팁인 것 같아요 ! || 너무 맛있어 보여요~!~!!! 낙지가 들어갔다니 🤤,Y,Y
i9930820,소소mom,https://m.blog.naver.com/i9930820,3,2,5,완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,2026-08-26 21:53:16,안녕하세요 유랑님! 들어왔는데 글을 너무 정성스럽게 쓰셔서 감탄하고 갑니다! 앞으로도 자주 들러서 소통해요! 반갑게 맞아주시면 감사하겠습니다 😊 || 꽃들이랑 식물 가득해서 힐링되네요 🌿 혹시 주차는 편하게 하고 다녀오셨나요?,Y,Y
don07165,예예,https://m.blog.naver.com/don07165,4,1,5,완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,완도 플로리스트의 비밀정원 아내의 정원 방문 후기,2026-08-26 21:53:16,어머 넘 이쁜 카페네용ㅎㅎ,Y,Y
CheckIn.naver,내 체크인,https://m.blog.naver.com/CheckIn.naver,5,0,5,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,,2026-08-26 21:53:16,,Y,N
ReadHistoryList.naver,최근 본 글,https://m.blog.naver.com/ReadHistoryList.naver,5,0,5,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,,2026-08-26 21:53:16,,Y,N
MarketPlace.naver,마켓 플레이스,https://m.blog.naver.com/MarketPlace.naver,5,0,5,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,,2026-08-26 21:53:16,,Y,N
Cart.naver,장바구니,https://m.blog.naver.com/Cart.naver,5,0,5,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,,2026-08-26 21:53:16,,Y,N
iwbbt,PC버전으로 보기,https://m.blog.naver.com/iwbbt,5,0,5,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,,2026-08-26 21:53:16,,Y,N
inhwa321,이나꾸,https://m.blog.naver.com/inhwa321,5,0,5,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,,2026-08-26 21:53:16,,Y,N
it_jiyu-3-,it지유,https://m.blog.naver.com/it_jiyu-3-,5,0,5,광양 홈플러스 재개장 현장 생생후기와 할인목록까지 | 완도 해양치유센터 생생후기｜예약부터 가격 할인까지 | 완도 가족여행 후기ㅣ 반값여행 신청부터 정산까지ㅣ 여행 주의사항 | 여름 몸보신 광양 중마동 4만원대 하모샤브샤브 만푸장횟집 | 완도 플로리스트의 비밀정원 아내의 정원 방문 후기,,2026-08-26 21:53:16,,Y,N
